0.46 0.48 0 0
0.48 0.48 0 0
0.5 0.48 0 0
0.42 0.52 0 0
0.42 0.54 0 0
0.42 0.56 0 0
0.44 0.5 0 0
0.44 0.52 0 0
0.44 0.54 0 0
0.44 0.56 0 0
0.44 0.58 0 0
0.46 0.5 0 0
0.46 0.52 0 0
0.46 0.54 0 0
0.46 0.56 0 0
0.46 0.58 0 0
0.48 0.5 0 0
0.48 0.52 0 0
0.48 0.54 0 0
0.48 0.56 0 0
0.48 0.58 0 0
0.5 0.5 0 0
0.5 0.52 0 0
0.5 0.54 0 0
0.5 0.56 0 0
0.5 0.58 0 0
0.52 0.5 0 0
0.52 0.52 0 0
0.52 0.54 0 0
0.52 0.56 0 0
0.52 0.58 0 0
0.54 0.52 0 0
0.54 0.54 0 0
0.54 0.56 0 0
0.46 0.6 0 0
0.48 0.6 0 0
0.5 0.6 0 0
