Point: 107(0.04,0.1,0) Total Neighbours = 37
Point: 108(0.04,0.12,0) Total Neighbours = 37
Point: 109(0.04,0.14,0) Total Neighbours = 37
Point: 110(0.04,0.16,0) Total Neighbours = 37
Point: 111(0.04,0.18,0) Total Neighbours = 37
Point: 112(0.04,0.2,0) Total Neighbours = 37
Point: 113(0.04,0.22,0) Total Neighbours = 37
Point: 114(0.04,0.24,0) Total Neighbours = 37
Point: 115(0.04,0.26,0) Total Neighbours = 37
Point: 116(0.04,0.28,0) Total Neighbours = 37
Point: 117(0.04,0.3,0) Total Neighbours = 37
Point: 118(0.04,0.32,0) Total Neighbours = 37
Point: 119(0.04,0.34,0) Total Neighbours = 37
Point: 120(0.04,0.36,0) Total Neighbours = 37
Point: 121(0.04,0.38,0) Total Neighbours = 37
Point: 122(0.04,0.4,0) Total Neighbours = 37
Point: 123(0.04,0.42,0) Total Neighbours = 37
Point: 124(0.04,0.44,0) Total Neighbours = 37
Point: 125(0.04,0.46,0) Total Neighbours = 37
Point: 126(0.04,0.48,0) Total Neighbours = 37
Point: 127(0.04,0.5,0) Total Neighbours = 37
Point: 128(0.04,0.52,0) Total Neighbours = 37
Point: 129(0.04,0.54,0) Total Neighbours = 37
Point: 130(0.04,0.56,0) Total Neighbours = 37
Point: 131(0.04,0.58,0) Total Neighbours = 37
Point: 132(0.04,0.6,0) Total Neighbours = 37
Point: 133(0.04,0.62,0) Total Neighbours = 37
Point: 134(0.04,0.64,0) Total Neighbours = 37
Point: 135(0.04,0.66,0) Total Neighbours = 37
Point: 136(0.04,0.68,0) Total Neighbours = 37
Point: 137(0.04,0.7,0) Total Neighbours = 37
Point: 138(0.04,0.72,0) Total Neighbours = 37
Point: 139(0.04,0.74,0) Total Neighbours = 37
Point: 140(0.04,0.76,0) Total Neighbours = 37
Point: 141(0.04,0.78,0) Total Neighbours = 37
Point: 142(0.04,0.8,0) Total Neighbours = 37
Point: 143(0.04,0.82,0) Total Neighbours = 37
Point: 144(0.04,0.84,0) Total Neighbours = 37
Point: 145(0.04,0.86,0) Total Neighbours = 37
Point: 146(0.04,0.88,0) Total Neighbours = 37
Point: 147(0.04,0.9,0) Total Neighbours = 37
Point: 148(0.04,0.92,0) Total Neighbours = 37
Point: 149(0.04,0.94,0) Total Neighbours = 37
Point: 150(0.04,0.96,0) Total Neighbours = 37
Point: 151(0.04,0.98,0) Total Neighbours = 35
Point: 152(0.04,1,0) Total Neighbours = 34
Point: 153(0.06,0,0) Total Neighbours = 36
Point: 154(0.06,0.02,0) Total Neighbours = 37
Point: 155(0.06,0.04,0) Total Neighbours = 37
Point: 156(0.06,0.06,0) Total Neighbours = 37
Point: 157(0.06,0.08,0) Total Neighbours = 37
Point: 158(0.06,0.1,0) Total Neighbours = 37
Point: 159(0.06,0.12,0) Total Neighbours = 37
Point: 160(0.06,0.14,0) Total Neighbours = 37
Point: 161(0.06,0.16,0) Total Neighbours = 37
Point: 162(0.06,0.18,0) Total Neighbours = 37
Point: 163(0.06,0.2,0) Total Neighbours = 37
Point: 164(0.06,0.22,0) Total Neighbours = 37
Point: 165(0.06,0.24,0) Total Neighbours = 37
Point: 166(0.06,0.26,0) Total Neighbours = 37
Point: 167(0.06,0.28,0) Total Neighbours = 37
Point: 168(0.06,0.3,0) Total Neighbours = 37
Point: 169(0.06,0.32,0) Total Neighbours = 37
Point: 170(0.06,0.34,0) Total Neighbours = 37
Point: 171(0.06,0.36,0) Total Neighbours = 37
Point: 172(0.06,0.38,0) Total Neighbours = 37
Point: 173(0.06,0.4,0) Total Neighbours = 37
Point: 174(0.06,0.42,0) Total Neighbours = 37
Point: 175(0.06,0.44,0) Total Neighbours = 37
Point: 176(0.06,0.46,0) Total Neighbours = 37
Point: 177(0.06,0.48,0) Total Neighbours = 37
Point: 178(0.06,0.5,0) Total Neighbours = 37
Point: 179(0.06,0.52,0) Total Neighbours = 37
Point: 180(0.06,0.54,0) Total Neighbours = 37
Point: 181(0.06,0.56,0) Total Neighbours = 37
Point: 182(0.06,0.58,0) Total Neighbours = 37
Point: 183(0.06,0.6,0) Total Neighbours = 37
Point: 184(0.06,0.62,0) Total Neighbours = 37
Point: 185(0.06,0.64,0) Total Neighbours = 37
Point: 186(0.06,0.66,0) Total Neighbours = 37
Point: 187(0.06,0.68,0) Total Neighbours = 37
Point: 188(0.06,0.7,0) Total Neighbours = 37
Point: 189(0.06,0.72,0) Total Neighbours = 37
Point: 190(0.06,0.74,0) Total Neighbours = 37
Point: 191(0.06,0.76,0) Total Neighbours = 37
Point: 192(0.06,0.78,0) Total Neighbours = 37
Point: 193(0.06,0.8,0) Total Neighbours = 37
Point: 194(0.06,0.82,0) Total Neighbours = 37
Point: 195(0.06,0.84,0) Total Neighbours = 37
Point: 196(0.06,0.86,0) Total Neighbours = 37
Point: 197(0.06,0.88,0) Total Neighbours = 37
Point: 198(0.06,0.9,0) Total Neighbours = 37
Point: 199(0.06,0.92,0) Total Neighbours = 37
Point: 200(0.06,0.94,0) Total Neighbours = 37
Point: 201(0.06,0.96,0) Total Neighbours = 37
Point: 202(0.06,0.98,0) Total Neighbours = 37
Point: 203(0.06,1,0) Total Neighbours = 36
Point: 204(0.08,0,0) Total Neighbours = 37
Point: 205(0.08,0.02,0) Total Neighbours = 37
Point: 206(0.08,0.04,0) Total Neighbours = 37
Point: 207(0.08,0.06,0) Total Neighbours = 37
Point: 208(0.08,0.08,0) Total Neighbours = 37
Point: 209(0.08,0.1,0) Total Neighbours = 37
Point: 210(0.08,0.12,0) Total Neighbours = 37
Point: 211(0.08,0.14,0) Total Neighbours = 37
Point: 212(0.08,0.16,0) Total Neighbours = 37
Point: 213(0.08,0.18,0) Total Neighbours = 37
Point: 214(0.08,0.2,0) Total Neighbours = 37
Point: 215(0.08,0.22,0) Total Neighbours = 37
Point: 216(0.08,0.24,0) Total Neighbours = 37
Point: 217(0.08,0.26,0) Total Neighbours = 37
Point: 218(0.08,0.28,0) Total Neighbours = 37
Point: 219(0.08,0.3,0) Total Neighbours = 37
Point: 220(0.08,0.32,0) Total Neighbours = 37
Point: 221(0.08,0.34,0) Total Neighbours = 37
Point: 222(0.08,0.36,0) Total Neighbours = 37
Point: 223(0.08,0.38,0) Total Neighbours = 37
Point: 224(0.08,0.4,0) Total Neighbours = 37
Point: 225(0.08,0.42,0) Total Neighbours = 37
Point: 226(0.08,0.44,0) Total Neighbours = 37
Point: 227(0.08,0.46,0) Total Neighbours = 37
Point: 228(0.08,0.48,0) Total Neighbours = 37
Point: 229(0.08,0.5,0) Total Neighbours = 37
Point: 230(0.08,0.52,0) Total Neighbours = 37
Point: 231(0.08,0.54,0) Total Neighbours = 37
Point: 232(0.08,0.56,0) Total Neighbours = 37
Point: 233(0.08,0.58,0) Total Neighbours = 37
Point: 234(0.08,0.6,0) Total Neighbours = 37
Point: 235(0.08,0.62,0) Total Neighbours = 37
Point: 236(0.08,0.64,0) Total Neighbours = 37
Point: 237(0.08,0.66,0) Total Neighbours = 37
Point: 238(0.08,0.68,0) Total Neighbours = 37
Point: 239(0.08,0.7,0) Total Neighbours = 37
Point: 240(0.08,0.72,0) Total Neighbours = 37
Point: 241(0.08,0.74,0) Total Neighbours = 37
Point: 242(0.08,0.76,0) Total Neighbours = 37
Point: 243(0.08,0.78,0) Total Neighbours = 37
Point: 244(0.08,0.8,0) Total Neighbours = 37
Point: 245(0.08,0.82,0) Total Neighbours = 37
Point: 246(0.08,0.84,0) Total Neighbours = 37
Point: 247(0.08,0.86,0) Total Neighbours = 37
Point: 248(0.08,0.88,0) Total Neighbours = 37
Point: 249(0.08,0.9,0) Total Neighbours = 37
Point: 250(0.08,0.92,0) Total Neighbours = 37
Point: 251(0.08,0.94,0) Total Neighbours = 37
Point: 252(0.08,0.96,0) Total Neighbours = 37
Point: 253(0.08,0.98,0) Total Neighbours = 37
Point: 254(0.08,1,0) Total Neighbours = 37
Point: 255(0.1,0,0) Total Neighbours = 37
Point: 256(0.1,0.02,0) Total Neighbours = 37
Point: 257(0.1,0.04,0) Total Neighbours = 37
Point: 258(0.1,0.06,0) Total Neighbours = 37
Point: 259(0.1,0.08,0) Total Neighbours = 37
